0, Spectacular Legacy, Fantastic, Quest
1, Intriguing Adventure, Mysterious, Adventure
2, Daring Quest, Daring, Enigma
3, Intriguing Discovery, Mysterious, Odyssey
4, Thrilling Discovery, Intriguing, Legend
5, Intriguing Legend, Intriguing, Quest
6, Fantastic Mystery, Adventurous, Legacy
7, Thrilling Mystery, Whimsical, Journey
8, Whimsical Miracle, Adventurous, Journey
9, Spectacular Journey, Mysterious, Quest
10, Spectacular Journey, Whimsical, Journey
11, Thrilling Quest, Epic, Mystery
12, Intriguing Mystery, Mysterious, Legend
13, Thrilling Enigma, Intriguing, Discovery
14, Epic Legend, Spectacular, Enigma
15, Thrilling Odyssey, Thrilling, Legacy
16, Fantastic Odyssey, Whimsical, Quest
17, Fantastic Enigma, Epic, Adventure
18, Whimsical Quest, Intriguing, Quest
19, Thrilling Quest, Adventurous, Legend
